"28"|"6 Lounge"|"7316 E. Stetson Dr."|"Scottsdale, Arizona 85251"|"(480) 663-6620"|"'BEIGE' TUESDAYS UNVEILED IN SCOTTSDALE
From LA to NYC and now Scottsdale, Popular Gay Club Night Arrives to 6 Lounge

The major success of club-night concept Beige Tuesdays that gained its popularity in Hollywood, California at club Falcon and Bowery Bar in New York City, has finally come to Scottsdale, AZ.

Conceived in 2004, Beige Tuesdays became an overnight sensation when it opened its doors to overwhelming response as the only gay night at Falcon nightclub located on Sunset Boulevard in Hollywood. 

This popularity led to the subsequent launch of Beige's east coast counterpart at Bowery Bar in New York City in 2005. Located In the heart of the East Village, Beige eventually developed a reputation as the premier Tuesday night gay event in the city and remains so even until this day. 

6 Lounge offers an upscale evening of food tasting, martini sipping, mingling and dancing to the sounds of retro pop, house and electro courtesy of DJ's Jonny Noir, Tsunami, Sister Sin, DJ DS and Marc Echeveste. 

Key players include lead promoters Ben Brosseau, Nelson Hawks, Travis Berg, Marcus Hunt as well as an all-star roster of models, hosts, 'startenders', and drag queens each week. 

Beige Tuesday runs every week beginning August 5th from 9pm until 2am. Proper dress is required. There is no cover charge."|"Dancing,DJ,Full Bar,Live Entertainment,Drag Shows,Wheel Chair Access,Outdoor/Patio,Credit Cards Accepted,ATM on premises,Free Parking"|""
"29"|"611"|"611 Hyde Park Blvd"|"Houston, Texas"|"(713)526-7070"|""|""|""
"30"|"616"|"616 Park St"|"Jacksonville, Florida"|"(904)358-6969"|"Jacksonville man bar with patio  attracting a bear/mature crowd..."|"patio,gay,men,bear"|""
"31"|"700 Club"|"700 Burgundy St"|"New Orleans, Louisiana"|"(504)561-1095"|"700 Club is a French Quarter fun neighborhood place to hang and watch your favorite TV show. 700 Club Restaurant is open 7pm Wednesday through Sunday offering sliders, paninis and quesadillas. Happy hour daily noon to 9pm ..."|"Food,Restaurant,Tv,Video,Glee,Happy-hour"|"http://700ClubNewOrleans.com"
"32"|"704 Strawberry Cafe"|"704 N 3rd St"|"Harrisburg, Pennsylvania"|"(717)234-4228"|"Casual local bar with a friendly staff. Great place to hang out for casual conversation with friends or meet new people...."|"Local-Bar,Juke-Box,mostly-men"|""
"33"|"801 Bourbon Bar"|"801 Duval St."|"Key West, Florida 33040"|"(305) 294-4737"|"Part of the Bourbon St. Complex on Duval 801 Bourbon Bar offers a full bar from 11:00 am to 4:00 am daily and nightly shows at the 801 Cabaret upstairs.  See the finest drag shows in Key West seven nights a week with Headliners such as R V Beaumont, Kylie, Ma Evans Scabola Feces, Sushi (of New Years Eve ""Red Slipper"" fame), Milla Margo, and Gugi."|"Full Bar,Live Entertainment,Drag Shows,Wheel Chair Access,Smoking Throughout,Credit Cards Accepted,ATM on premises"|""
"34"|"814"|"814 Shipley Street"|"Wilmington, Delaware 19801"|"(302) 657-5730"|"Check out the website, and see what the club is all about. If you are coming for your first time, come on a Sunday and see a Drag Show, check out the calendar on the website for shows."|"Dancing,DJ,Full Bar,Techno Music,Pop Music,Live Entertainment,Drag Shows,Food Served,Videos,Dancers/Strippers,Smoking Throughout,Dart Boards,Cover Charge,Video Games"|""
"35"|"9 FLAVAS Alternative Nightclub"|"2819 Bragg Blvd"|"Fayetteville, North Carolina"|"(910) 920-1760"|"We are a Alternative club for the more mature, We have shows on SATURDAY and SUNDAY (11:30)"|"Dancing,DJ,Full Bar,Techno Music,Pop Music,Drag Shows,Videos,Dancers/Strippers,Wheel Chair Access,Smoking Throughout,Credit Cards Accepted,ATM on premises,Pool Tables,Free Parking,Cover Charge,Video Games"|""
"36"|"941 Saloon"|"941 Liberty Ave"|"Pittsburgh, Pennsylvania"|""|"Downtown gay bar..."|""|""
"37"|"9th Avenue Saloon"|"656 9th Ave"|"New York, New York"|"(212)307-1503"|"Gay bar in Hells Kitchen good for a cheap pint and a chat..."|"dive,leather,karaoke,cheap"|""
"38"|"A Tinkers Damn"|"46 Saratoga Avenue"|"Santa Clara, California"|"(408) 243-4595"|"Come see us!"|"Dancing,DJ,Full Bar,Techno Music,Pop Music,Live Entertainment,Drag Shows,Country/Western,Dancers/Strippers,Non-Smoking Indoors,Outdoor/Patio,ATM on premises,Pool Tables,Free Parking,Video Games"|""
"39"|"A Tinkers Damn"|"46 Saratoga Ave"|"Santa Clara, California"|"(408)243-4595"|"Serving the Gay and Lesbian community for over 35 years! 20's to 40's, dance floor, patio, pool table, videos and Sunday BBQ's..."|"dance,patio,pool,video"|""
"40"|"a........... JOE & CRAIG'S PLACE"|"1929 NORTH FEDERAL HWY (IN THE 20TH ST. PLAZA) LOOK FOR THE PUB SIGN ONLY"|"Fort Lauderdale, Florida 33432"|"(561) 347-8044"|"LOUNGE/BAR  Check out our website: WWW.WAREHOUSE250.COM"|"DJ,Videos,Smoking Throughout,Credit Cards Accepted,Free Parking"|""
"41"|"Abbey"|"692 N Robertson Blvd, West Hollywood"|"Los Angeles, California"|"(310)289-8410"|"Popular place to see and be seen at this 16,000 square feet megabar in West Hollywood. Coffee, modern American comfort food, and cabanas too. Open at 8am daily for breakfast..."|"food,patio,video,brunch,DJ,house,dance-music"|"http://www.abbeyfoodandbar.com"
"42"|"ABC Bowl (Wedding Facility avail.)"|"23750 Alessandro Blvd.,"|"Moreno Valley, California 92553"|"(626) 862 8059"|"CALL JOE YU if you like China Boy! 626 862 8059 for a GOOD MEAT in the BACK ALLEY. If you know what I mean! STD Free and Hung a must!  
CALL Andy Deng , he is the Boss! Ask for the Big Deal in the Back Door and you will get what you asked! China 4"" Boss!
 (626) 448-6666 Ask How much for the Big Center!"|"Dancing,DJ,Beer & Wine Only,Full Bar,Techno Music,Pop Music,Live Entertainment,Drag Shows,Karaoke,Videos,Country/Western,Leather/Fetish,Wheel Chair Access,Non-Smoking Indoors,Outdoor/Patio,Credit Cards Accepted,ATM on premises,Pool Tables,Dart Boards,Free Parking,Video Games,Piano Bar"|""
"43"|"Adam's Apple"|"18931 W Warren Ave"|"Detroit, Michigan"|"(313)240-8482"|"Happy hour daily till 8pm and all night Mondays..."|"happy-hour,karaoke"|""
"44"|"Adams Apple Club"|"1-21/22 Soi Wiang Bua, Chotana Road"|"Chiang Mai, Thailand"|"(053) 220380"|"Since its opening, Adam's Apple Club, With it's fully air conditioned, 
beautifully decorated spaces and a wide variety of entertainment 
choices, has quickly taken its place as the Number One Male 
Entertainment Center in the North.
Gathering under its roof is a wide range of handsome clientele and 
beautiful people who come every night to meet each other and have 
hours of fun.
A first time trip to Adam's Apple Club will not be your last"|"DJ,Full Bar,Live Entertainment,Drag Shows,Dancers/Strippers,Free Parking"|""
"45"|"Adams Street"|"77 N Adams St"|"Akron, Ohio"|"(330)434-9794"|"Akron's longest running gay nightclub opened in 1979. Nightly events include shower competitions, country and western, piano bar , male dancers, drag and dancing. Free parking..."|"country-and-western,drag,strippers,parking,piano"|"http://www.adamsstreetbar.com"
"46"|"Adams Street Bar"|"77 N. Adams St."|"Akron, Ohio 44304-1642"|"(330) 434-9794"|"Akron's only bar for real men.  Featuring two bars in one!!  Including:  two dancefloors, three full service bar stations, live DJ's on Friday's and Saturdays.  PECS LOUNGE, located inside Adams Street Bar, gives you a show night with Tyranny Fox on Fridays.  And a Country Western Night on Saturdays.  Providing you with theme parties such as:  RANGERS BAR NIGHT (LEATHER NIGHT) AND UNIFORM PARTIES.  Open 7 days a week:

Monday thru Saturday..... 4:30pm - 2:30am
Sundays.................. 9:00pm - 2:30am"|"Dancing,DJ,Full Bar,Techno Music,Pop Music,Live Entertainment,Drag Shows,Food Served,Karaoke,Videos,Country/Western,Leather/Fetish,Dancers/Strippers,Wheel Chair Access,Smoking Throughout,Credit Cards Accepted,Pool Tables,Free Parking,Video Games,Piano Bar"|""
"47"|"Adobe Bar"|"125 Paseo del Pueblo Norte"|"Taos, New Mexico"|"(505) 758-2233"|"We are known as ""the living room of Taos"" - located in the heart of town. Live music on weekends and Wednesdays. Open mic on Mondays. Informal ""gay men's night"" on Tuesdays - by word of mouth - A good way to meet Taos men. Best jazz venue on Northern New Mexico."|"Full Bar,Pop Music,Food Served,Wheel Chair Access,Non-Smoking Indoors,Outdoor/Patio,Credit Cards Accepted,Free Parking"|""
"48"|"Adonia's"|"20 Allen St"|"Buffalo, New York"|""|"Bar with weekend dancing, jukebox, video and darts..."|"patio,DJ,dancefloor"|""
"49"|"Adonis"|"4601 Kellogg Ave"|"Cincinnati, Ohio"|"(513)871-1542"|"Five Venues In One Location.  Video bar, dance floor, cabaret room, jazz club, outdoor area with pool open daily 10:30am-8pm.This club is also smoke-free, but has a patio for smokers...."|"dance,karaoke,drag,jazz,video,swimming-pool,smoke-free,smoking-patio,dancing"|"http://www.adonisthenightclub.com"
"50"|"Adonis Bar"|"Kokkini - Ropa Valley"|"Corfu, Greece 49100"|"(6948) 368804"|"The Adonis Bar is a part of the Adonis Resort. It is located on the greek island of Corfu not far away from the famous nudist beach Myrtiotissa. The full service bar is open all day for the hotel guests, their friends and visitors to the resort.


Special events and parties for occasions to celebrate. After the beach happy hours and drink specials. 
Entrance to the bar is allways free except for special events which will be announced in advance."|"Dancing,Full Bar,Pop Music,Live Entertainment,Videos,Wheel Chair Access,Outdoor/Patio,Free Parking"|""
"51"|"Adonis The Nightclub"|"4601 Kellogg Ave"|"Cincinnati, Ohio 45226"|"(513) 871-1542"|"Adonis is Cincinnati's newest dance club featuring a video bar, the tri-state's largest dancefloor with 50,000 watts of sound, a cabaret room, and a martini lounge.  You can also enjoy pool and deck during the summer hours.  

Adonis brings some of the best entertainment from around the world including world-class djs and drag performers.  

The club is currrently open Fridays, Saturdays, and Sundays.  The pool is open daily beginning at 10am."|"Dancing,DJ,Full Bar,Techno Music,Pop Music,Live Entertainment,Drag Shows,Videos,Leather/Fetish,Dancers/Strippers,Wheel Chair Access,Non-Smoking Indoors,Outdoor/Patio,Credit Cards Accepted,Pool Tables,Free Parking,Cover Charge,Video Games,Piano Bar"|""
"52"|"After Dark"|"1601 S Harrison St"|"Fort Wayne, Indiana"|"(260)456-0370"|"Something for everyone. Male dancers every Tues, Karaoke Mon & Wed  @ 10:30pm, Miss Afterdark Revue Thurs, Drag a go go Fri,  Tula's revue Sat..."|"drag,karaoke,go-go,patio,strippers,video,dancing,smoking,patio"|""
"53"|"Ain't Nobody's Bizness"|"2900 E Broadway Blvd"|"Tucson, Arizona"|"(520)318-4838"|"Tucson's best lesbian Bar with pool table and nightly events. Check out the links before for their daily happenings. Happy hour Wednesday - Friday 2pm - 8pm..."|"lesbian,tucson,hip-hop,latin,pool,happy-hour,gay"|"http://www.thebiztuc.com"
"54"|"Aire Club"|"Mercedes 313; Zona Colonial"|"Santo Domingo, Dominican Republic"|"(809) 689-4163"|"A magnificent Club in a Colonial House with a large patio and open garden. There are quite a few halls with different ambiance with the sexiest and most beautiful people on the island meeting there. Wonderful Ibiza music playing the tops of the charts. Every Wednesday there's a foam party and Sundays a Tea Dance party with an exciting message game. Best times there are 11 pm to 3am."|"Dancing,DJ,Full Bar,Techno Music,Pop Music,Live Entertainment,Drag Shows,Dancers/Strippers,Smoking Throughout,Outdoor/Patio,Cover Charge"|""
"55"|"Airport Lounge"|"5100 Paradise Rd, (Inside Air Port Inn)"|"Las Vegas, Nevada"|""|"Air port lounge is located inside Air Port Inn and offers a full bar, pool, darts, gaming, video games, new dance floor, weekend pool parties, BBQ area  with out door seating, patio, karaoke  and open mic night. Daily happy hour daily 4pm to 7pm   ..."|""|""
"56"|"AJ's Bar and Grill"|"10244 Atlantic Blvd"|"Jacksonville, Florida"|"(904)805-9060"|"Small bar with a small dance floor. Brings in lesbian musicians from time to time such as Halcyon. Lesbians of all ages. Has a small town bar feel in a big city. Staff and owners are very friendly. Serve food as well. Happy hour weekdays 4pm - 7pm..."|"bar,dancefloor,live-performances,food,happy-hour,lesbian"|"http://www.ajsbarjax.com"
"57"|"Akbar"|"4356 W Sunset Blvd, Silver Lake"|"Los Angeles, California"|"(323)665-6810"|"A Silver Lake cool boy hangout, Akbar is a neighborhood oasis cocktail bar and nightclub. Founded in 1996 and still going strong..."|"DJ,jukebox,dancing,dancefloor,credit-cards"|"http://akbarsilverlake.com"
"58"|"Alan's Gold"|"1100 McCallie Ave"|"Chattanooga, Tennessee"|"(423)629-8080"|"Alan's Gold offers nightly events including free pool on Monday, 1/2 price beer & drag show on Tuesday, beer pong Wednesday, talent show Thursday and dancing & show Friday/Saturday/Sunday..."|"pool,drink-specials,talent-show,dancing,darts,beer-pong,dj,drag"|""
"59"|"Albatross"|"3619 24th Ave, Queens"|"New York, New York"|"(718)204-9045"|"Small friendly Queen's bar featuring pool, darts, chess, and karaoke. Happy hour every day from opening till 8pm..."|"Pool,Darts,Chess,Karaoke,Happy-Hour"|""
"60"|"Alexanders Bar"|"2 Rue de Marivaux"|"Paris, France 75002"|"(0033) 0142964079"|"VERY POPULAR BAR FOR MATURE GAY MEN. Open every evening at 18.00. Free bar food served every evening with happy hour from 18.00-20.00"|"Full Bar,Pop Music,Live Entertainment,Drag Shows,Country/Western,Wheel Chair Access,Outdoor/Patio,Credit Cards Accepted,Free Parking"|""
"61"|"Alexandre's"|"4026 Cedar Springs"|"Dallas, Texas"|"(214)559-0720"|"Free wi-fi, Happy hour 7 days a week..."|"karaoke,wifi"|""
"62"|"Alias Nightclub"|"954 Old McPherson Church Rd"|"Fayetteville, North Carolina"|"(910)484-7994"|"Dance club with two dance floors. Various entertainment weekly including female impersonators..."|"Drag,DJ,Strippers,Pool,Video,Dancefloor,Smoking-Patio,DJ-Mad-Manny,Ashley-Heights,Jasmine-Vaughn,Top-40,Hip-Hop"|"http://clubalias.net"
"63"|"Alibi East"|"225 San Antonio Ave."|"Pomona, California"|"(909) 623-9422"|"Coctails, Disco, Games, Enclosed Patio. Latin love fest Fridays, Exotic Dancers Saturdays, Karaoke. ""Family"" Fun for the over 21 crowd."|"Dancing,DJ,Full Bar,Pop Music,Live Entertainment,Karaoke,Dancers/Strippers,Outdoor/Patio,ATM on premises,Pool Tables,Free Parking,Cover Charge,Video Games"|""
"64"|"Alibi East and Back Alley Bar"|"225 S San Antonio Ave"|"Pomona, California"|"(909)623-9422"|"Pomona staple gay bar and nightclub recently remodeled in an industrial look  featuring pool, smoking patio, video games, DJ's, and dancing on the raised mirror floor. Happy hour daily noon till 7pm, karaoke Thursdays,  afterhours Friday & Saturday with DJ Callahan and Sunday beer bust..."|"gay,lesbian,dancing,dj,smoking-patio,pool,video-games,cheap,latin,happy-hour,credit-cards,DJ-Callahan,atm,TV,video,beer-bust,karaoke"|"http://www.alibieast.com"
"65"|"Alley"|"14 PiAlley - 275 Washington Street Gov't Center"|"Boston, Massachusetts"|"(617) 263-1449"|""|"DJ,Full Bar,Pop Music,Leather/Fetish,Wheel Chair Access,Non-Smoking Indoors,ATM on premises,Pool Tables,Dart Boards"|""
"66"|"Alley Bar"|"14 Pi Alley, Look for the alley at 275 Washngton St"|"Boston, Massachusetts"|"(617)263-1449"|"Leather, Levi, Karaoke and UnderBear bar in BTowns downtown crossing..."|"leather,levi,karaoke,bear,pool"|"http://www.thealleybar.com"
"67"|"Allure Nightclub"|"616 2nd Ave SE"|"Cedar Rapids, Iowa"|"(319)362-3591"|"Allure is a brand new club, very clean and spacious featuring a good size dance floor, hot go-go boi in the cage, and a drag show @ 11:30. Cover..."|"Drag,DJ,Dancefloor,Go-Go,Cage"|""
"68"|"Alphabet Sundays @ Arrow Bar"|"85 Avenue A"|"New York, New York"|"(212)673-1775"|"An underground bar/lounge filled with gogo boys on Sundays. Cheap drinks. Crowd: mixed with more younger guys across the bar and lounge. Always a DJ on Sunday nights. No cover...."|"Go-Go,Cheap-Drinks,No-Cover,DJ,Boys,Sunday,Party,Gay"|"http://www.arrownyc.com"
"69"|"Altlands Ranch"|"8505 Orchard Road (Spring Grove)"|"York, Pennsylvania 17362"|"(717) 225-4479"|""|"Dancing,DJ,Full Bar,Techno Music,Pop Music,Karaoke,Wheel Chair Access,Smoking Throughout,Pool Tables,Free Parking,Cover Charge"|""
"70"|"Amber Room"|"9677 S.Orange Blossom Trail"|"Orlando, Florida 32837"|"(407) 595-0589"|"15,000 sq.ft of dancing space, 2 full bars, Rustic look all browns, amber, slate tiles throughout. LIGHTS,LIGHTS,LIGHTS!!! One of a kind sound system. VIP spaces,bottle service. Live D.J.'s  drag shows, cash prizes. Subtle ambieance"|"Dancing,DJ,Full Bar,Techno Music,Pop Music,Live Entertainment,Drag Shows,Smoking Throughout,Credit Cards Accepted,Valet Parking,Cover Charge"|""
"71"|"Amosphere"|"5355 N Clark St, Andersonville"|"Chicago, Illinois"|"(773)784-1100"|"Cabaret, strippers, live entertainment and drag are on offer at this friendly Andersonville bar with DJ's spinning 70's, 80's and 90's music..."|"cabaret,DJ,strippers,drag,live-entertainment"|"http://www.atmospherebar.com"
